full_name,language,stars,forks,contributors,commits,engagement_rate,issue_resolution_rate,commits_per_contributor,engagement_per_star,popularity_vs_activity,commits_per_day,issues_per_day
louislam/uptime-kuma,JavaScript,75940,6737,858,5974,1.0887147748222281,0.8117919075144509,6.962703962703963,0.011298393468527785,88.5081585081585,3.82213691618682,2.7671145233525274
vitejs/vite,TypeScript,75840,7343,1178,8176,1.0968222573839663,0.9232153569286142,6.9405772495755516,0.015532700421940928,64.38030560271646,4.085957021489255,4.165417291354323
rasbt/LLMs-from-scratch,Jupyter Notebook,75353,11038,53,979,1.1464838825262431,0.98,18.471698113207548,0.0007033562034690059,1421.754716981132,1.204182041820418,0.24600246002460024
typicode/json-server,JavaScript,75182,7235,92,978,1.0962331409113883,0.43498817966903075,10.630434782608695,0.0012236971615546275,817.195652173913,0.22544951590594745,0.2925311203319502
elastic/elasticsearch,Java,75019,25550,2377,90859,1.3405803863021368,0.8713018449488038,38.22423222549432,0.03168530638904811,31.560370214556162,15.867796018162766,7.402375130981488
hoppscotch/hoppscotch,TypeScript,74968,5267,293,5871,1.070256642834276,0.7403314917127072,20.037542662116042,0.003908334222601643,255.86348122866895,2.6151447661469933,0.9674832962138085
unionlabs/union,Rust,74565,3840,30,15568,1.0514986924160128,0.8921360255047821,518.9333333333333,0.0004023335345001006,2485.5,17.69090909090909,2.1386363636363637
junegunn/fzf,Go,74378,2597,309,3417,1.0349162386727258,0.9035172636334301,11.058252427184467,0.004154454274113313,240.70550161812298,0.7813857763549051,0.7086668191173108
coder/code-server,TypeScript,74228,6271,270,4002,1.0844829444414508,0.9574069113313689,14.822222222222223,0.003637441396777496,274.9185185185185,1.6537190082644628,1.5425619834710744
sdmg15/Best-websites-a-programmer-should-visit,,74198,8462,349,1275,1.1140462007062184,0.09659613615455381,3.653295128939828,0.004703630825628723,212.60171919770772,0.40553435114503816,0.3457379134860051
hacksider/Deep-Live-Cam,Python,73962,10779,53,477,1.1457370000811227,0.9179389312977099,9.0,0.0007165841918823179,1395.5094339622642,0.636,1.3973333333333333
vuejs/awesome-vue,,73315,9473,2439,5247,1.129209575121053,0.76,2.151291512915129,0.03326740776103117,30.059450594505947,1.4391113549094898,0.06856829402084476
nestjs/nest,TypeScript,73035,8052,623,19115,1.1102485109878826,0.9889994761655317,30.682182985553773,0.00853015677414938,117.23113964686998,6.024267254963757,1.804916482823826
Shubhamsaboo/awesome-llm-apps,Python,71868,9258,54,769,1.1288195024211054,0.9354838709677419,14.24074074074074,0.0007513775254633495,1330.888888888889,1.4454887218045114,0.17481203007518797
redis/redis,C,71204,24272,869,12745,1.3408797258580978,0.6327614379084967,14.666283084004602,0.012204370540980844,81.93785960874568,2.1069598280707553,1.214084972722764
ventoy/Ventoy,C,71162,4508,120,1117,1.0633484162895928,0.6259827779857731,9.308333333333334,0.0016862932463955482,593.0166666666667,0.5467449828683308,1.3073910915320608
abi/screenshot-to-code,Python,70962,8799,25,899,1.1239959414898115,0.6813725490196079,35.96,0.00035230123164510583,2838.48,1.2861230329041489,0.5836909871244635
moby/moby,Go,70909,18824,2516,54439,1.2654670070089833,0.8432010135135135,21.637122416534183,0.035482096771918936,28.18322734499205,11.704794667813374,5.091378198236939
pallets/flask,Python,70550,16585,857,5465,1.2350815024805102,0.9959319526627219,6.376896149358227,0.012147413182140326,82.32205367561261,0.9640148174281178,0.4769800670312224
grafana/grafana,TypeScript,70329,13065,2856,62893,1.1857697393678284,0.9137790753326314,22.021358543417367,0.04060913705583756,24.625,14.545097132284921,9.664199814986125
enaqx/awesome-react,,70301,7442,654,2027,1.1058590916203184,0.9491525423728814,3.099388379204893,0.009302854866929347,107.49388379204893,0.49608418991678904,0.02887909936368086
tesseract-ocr/tesseract,C++,70228,10290,226,6575,1.1465227544569119,0.83454018826937,29.0929203539823,0.0032180896508515124,310.7433628318584,1.6115196078431373,0.6769607843137255
josephmisiti/awesome-machine-learning,Python,70142,15122,690,2054,1.2155912292207236,0.9393939393939394,2.9768115942028985,0.009837187419805537,101.65507246376812,0.5,0.024099318403115872
strapi/strapi,TypeScript,69971,9063,1207,36411,1.1295250889654285,0.9167243767313019,30.16652858326429,0.017250003572908776,57.971002485501245,9.932078559738134,3.1511183851609386
astral-sh/uv,Rust,69849,2114,451,7664,1.0302652865466937,0.7127672877328999,16.993348115299334,0.0064567853512577135,154.87583148558758,10.328840970350404,10.777628032345014
hakimel/reveal.js,JavaScript,69681,16759,360,3224,1.2405103256267849,0.661189358372457,8.955555555555556,0.005166401171050932,193.55833333333334,0.6150324303700877,0.4876001526135063
sherlock-project/sherlock,Python,69459,8124,298,2813,1.1169610849565932,0.8610421836228288,9.439597315436242,0.004290300752962179,233.08389261744966,1.1319919517102617,0.48651911468812875
python/cpython,Python,69333,33079,3526,128731,1.4771032553041121,0.8791509756932557,36.509075439591605,0.050856013730835245,19.663357912648895,40.6476160404168,23.98042311335649
binary-husky/gpt_academic,Python,69323,8374,112,2400,1.1207968495304588,0.8373937677053824,21.428571428571427,0.0016156254057095047,618.9553571428571,2.55863539445629,1.8816631130063965
protocolbuffers/protobuf,C++,69280,15905,1369,21709,1.2295756351039262,0.9621021465581051,15.857560262965668,0.019760392609699768,50.60628195763331,5.339153959665519,1.661337924249877
swiftlang/swift,C++,69136,10557,1530,193826,1.1526990280027771,0.527947911493682,126.68366013071895,0.02213029391344596,45.186928104575166,53.20505078232226,4.974746088388691
localsend/localsend,Dart,68787,3685,214,1803,1.053571168970881,0.46312292358803986,8.425233644859814,0.0031110529605884833,321.43457943925233,1.747093023255814,1.4583333333333333
ocornut/imgui,C++,68718,11249,518,9389,1.1636980121656626,0.8242764323685765,18.125482625482626,0.007538054076079047,132.66023166023166,2.288883471477328,1.650901999024866
Stirling-Tools/Stirling-PDF,Java,68616,5800,265,4042,1.0845283898799114,0.719078947368421,15.252830188679246,0.0038620729858925033,258.92830188679244,4.082828282828283,1.5353535353535352
base/node,Go,68590,2843,75,224,1.0414491908441463,0.7653846153846153,2.986666666666667,0.0010934538562472663,914.5333333333333,0.22741116751269036,0.2639593908629442
openai/openai-cookbook,Jupyter Notebook,68484,11440,342,1271,1.167046317388003,0.8526785714285714,3.716374269005848,0.004993867180655335,200.24561403508773,0.96875,0.5121951219512195
apache/superset,TypeScript,68453,15985,1382,17838,1.2335178881860547,0.9239737274220032,12.907380607814762,0.020189034812206914,49.53183791606367,4.773347605030773,3.2592989028632595
